,AMAT,AMAT,AMD,AMD,BHP,BHP,DDD,DDD,F,F,FCX,FCX,INTC,INTC,MSFT,MSFT,NVDA,NVDA,QCOM,QCOM,RIO,RIO,TSLA,TSLA,TSM,TSM,VALE,VALE,VOO,VOO
,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28 00:00:00-04:00,59.31,6260486,79.52,43111531,52.74,1874323,4.79,1710523,6.695,43985784,15.895,16405678,51.45,21689039,209.61,25144753,521.4,12823864,118.48,7793149,60.5,3067588,421.0602,46468845,79.77,5615288,10.48,37147138,308.32,2376657
2020-09-29 00:00:00-04:00,59.67,4501381,81.75,59458078,51.6,4594819,4.92,4524660,6.59,72171314,15.32,24812054,51.19,16126276,207.16,19544440,528.72,14786106,117.35,4941238,60.215,4924997,418.99,47939292,80.52,11476689,10.41,53507461,305.31,2197225
2020-09-30 00:00:00-04:00,59.44,5961801,81.9301,46458134,51.7,3566851,4.9,3508832,6.65,92055328,15.63,31274600,51.77,18926132,210.32,23047500,540.895,15400089,117.68,4428546,60.41,3850541,428.97,45355318,81.07,11016860,10.58,51168819,307.61,4091286
2020-10-01 00:00:00-04:00,60.64,6330692,84.89,49642884,51.33,3357198,4.87,2757108,6.745,98263431,15.54,54171586,52.26,16538752,212.46,19324159,544.7,11931388,119.52,4199004,59.84,3094476,447.81,46917693,82.62,11386804,10.415,41588198,309.58,2823625
2020-10-02 00:00:00-04:00,58.21,5672323,81.84,48631616,51.44,3793716,4.87,3008264,6.89,101610232,15.95,41583484,51.01,18777414,206.18,24933552,522.48,11931193,115.47,4667353,60.49,4739088,415.2699,64001779,80.81,10972596,10.39,46358919,306.69,3051150
2020-10-05 00:00:00-04:00,60.61,4792765,86.14,45148897,52.18,2730693,4.98,2210936,7.02,76437587,16.32,26568940,51.7,16371564,210.37,16429213,545.7,10921975,120.54,4779311,61.21,2490418,425.5,42071439,84.54,19355676,10.76,43451278,312.0502,2271456
2020-10-06 00:00:00-04:00,60.37,5480957,84.489,48489425,50.49,8792307,5.36,10100940,6.98,136568021,15.72,34764754,51.37,18445576,205.91,21775105,549.36,17954642,119.54,6425689,59.61,5252880,413.7001,46076914,83.11,14815509,10.49,45778814,307.64,3196192
2020-10-07 00:00:00-04:00,61.12,4244719,86.69,41338926,51.93,4477103,6.35,47238769,7.24,91439527,16.87,48959323,52.65,17305739,209.81,18882800,558.56,9568684,123.03,6239410,61.21,3758027,425.19,40832057,86.92,20963801,10.75,58942955,312.99,1641170
2020-10-08 00:00:00-04:00,62.59,4463596,86.49,52691394,52.53,4279595,6.39,16155566,7.35,98377056,16.8,30414914,53.38,19920604,210.63,16705317,553.79,8629288,122.38,4203059,61.52,2653720,425.92,38297823,87.8,21227801,11.055,55817062,315.75,1651404
2020-10-09 00:00:00-04:00,63.29,5239514,83.13,73391903,52.87,2980887,6.68,12029963,7.245,92953786,17.23,28365117,52.84,19186774,215.81,21433543,550.54,7747957,124.84,8705856,62.09,7039339,433.96,27687361,88.8,14203507,11.195,50762476,318.62,2706724
